"","phylum","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"1","Actinobacteria",1,407,242,274,583,589,36,2016,2650,150,2090,782,360,2478,333,1349,359,868,728,1,869,518,2522,4118,652,285,669,889,443,23,581,2599,272,1548,702,131,3062,423,691,322,782,478,1888,942,638,1894,3696,66,165,125,26,116,13,37,10,172,11,0,22,5,15,384,65,154,42,17,186,50,26,53,137,199,225,33,199,17,88,13,198,24,1,26,8,23,85,69,234,46,25,101,129,21,78,0,442,153
"2","Bacteroidetes",5,2738,2415,2701,653,6757,4184,1575,4173,2158,8204,1594,1766,4700,553,2196,3217,640,3771,1,7441,4623,10423,1536,4877,3689,6677,1299,5073,2450,472,3784,3493,6314,1543,692,5577,830,1192,3140,500,2405,3630,7914,5629,8324,1495,3960,6345,3446,4765,2634,12143,2769,6994,5498,1804,3864,5025,4857,6111,11213,4140,6561,1825,1766,10844,3301,10403,5005,6131,9527,3438,4125,3829,9784,7698,6555,9089,10049,6996,5510,5979,6836,4461,5900,10672,2740,2512,4796,6759,4351,7910,7,2126,781
"3","Candidatus Saccharibacteria",0,854,502,1023,9,697,1108,958,62,540,2965,749,3086,0,278,2260,1371,1,2591,0,1204,865,1372,63,1621,789,2576,19,521,578,249,98,921,2070,750,1377,0,444,1119,1342,1,1723,125,1183,1108,1104,68,0,51,0,1,15,42,7,29,191,22,34,5,14,1,34,0,116,0,0,35,83,7,0,2,77,1,0,29,37,8,24,227,175,48,3,22,0,7,3,201,0,1,10,152,0,7,0,0,0
"4","Cyanobacteria/Chloroplast",0,36,474,5,0,0,1,2,7,0,1,1,3,0,1,0,1,6,11,0,0,4,23,0,90,715,11,0,0,0,0,29,0,0,1,0,0,0,0,0,3,0,0,0,10,15,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,17,0,0,4,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0
"5","Firmicutes",5,1535,1947,2632,1180,5678,1394,3506,6982,3588,8169,3345,3073,4536,1406,5141,4850,3248,4529,14,4770,3670,11477,3376,2588,2947,6366,2245,4240,794,964,7609,5690,6098,3075,1270,5727,2071,2641,4546,2862,2956,1333,5068,4298,8850,3155,2268,5638,2272,2607,4640,4909,1738,3014,2658,420,1096,4469,2117,1061,8109,2842,4806,2409,6742,3811,1794,5400,3604,3772,6188,6507,2249,6535,7048,4599,3329,3551,1940,2093,4899,2645,1411,2376,3829,7736,4180,7091,2895,4118,5445,5757,4,6768,2275
"6","Fusobacteria",0,253,240,557,26,2412,870,734,25,396,2802,624,479,1944,155,152,1099,107,4103,0,2262,345,1290,275,412,400,1300,81,1837,457,210,82,638,1949,624,222,2568,250,83,1153,76,2937,110,2409,408,1190,277,0,45,8,0,5,0,0,1,1,0,1362,65,307,1,95,4,18,1,1,9,4,62,13,2,65,1,0,10,1,1,1,0,0,1117,86,343,2,33,6,26,2,0,18,6,29,10,0,322,109
"7","Lentisphaerae",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,4,4,7,9,2,0,17,0,0,0,0,0,17,0,19,0,8,14,11,16,4,7,7,14,3,10,12,4,0,34,0,0,0,0,0,8,0,49,5,7,3,18,10,10,0,0,0
"8","Proteobacteria",2,2477,2654,2375,286,4352,1365,3571,194,1363,3288,886,1521,8096,364,768,1356,2037,7407,8,6121,5640,9913,975,4275,4040,5840,424,3484,702,1022,170,2110,2431,885,591,9591,532,426,1369,2069,4832,8225,6497,7356,7328,906,50,471,216,131,186,632,460,206,53,30,92,138,126,41,283,186,179,84,214,293,94,327,104,64,689,126,122,275,849,1082,237,66,255,161,162,96,32,98,276,354,199,181,141,158,178,133,1,4042,1145
"9","Spirochaetes",0,4,4,31,1,36,104,7,31,7,26,4,1,0,0,2,70,0,5,0,10,22,131,1,10,6,70,4,21,61,5,26,14,27,3,0,0,0,2,60,0,5,45,14,24,103,0,0,0,2,0,12,3,1,0,0,0,0,10,0,0,6,0,38,14,5,51,6,1,31,3,0,1,0,17,4,14,1,1,1,0,9,1,0,1,1,79,22,6,31,9,4,37,0,327,112
"10","SR1",0,3,29,136,0,87,934,12,0,0,130,46,0,1,0,0,13,0,3402,0,126,1,125,0,19,36,348,0,80,564,12,0,0,96,37,0,0,0,0,12,1,2604,26,128,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"11","Synergistetes",0,0,5,28,0,12,26,10,0,26,10,8,1,0,0,0,36,0,22,0,7,3,8,13,4,6,38,1,20,10,4,10,37,9,4,1,0,1,1,62,0,15,3,2,2,9,14,1,2,1,0,2,0,0,7,0,0,0,4,0,0,3,0,9,3,0,6,1,1,0,3,1,1,0,0,0,0,8,0,0,0,4,0,0,1,0,17,6,0,2,3,0,0,0,0,0
"12","Tenericutes",0,6,0,11,1,40,0,19,0,11,6,31,15,0,2,56,176,0,333,0,19,0,0,11,3,0,26,0,24,1,5,0,6,5,32,8,0,1,29,148,0,220,20,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"13","Unclassified",0,4,3,22,0,82,31,31,7,107,2,12,5,1,0,1,217,6,92,2,39,23,2,8,12,0,67,0,60,14,16,34,207,7,13,11,4,0,0,216,38,83,16,37,32,4,12,1,0,2,1,2,5,2,6,3,0,1,16,0,2,8,1,97,1,2,13,17,14,5,4,1,5,0,2,27,7,7,4,1,1,14,0,0,1,3,116,4,1,4,55,12,5,0,0,0
"14","Verrucomicrobia",2,2,0,8,1,17,6,6,496,14,94,2,7,0,0,14,2,1,24,0,3,1,36,24,6,1,34,0,8,6,0,615,11,75,4,7,0,0,8,4,2,21,3,1,0,18,41,0,17,22,47,1416,0,51,0,1254,75,0,0,0,106,2,4,411,101,271,465,60,364,299,0,10,16,25,2017,0,140,0,2100,1595,0,1,0,550,2,16,527,236,269,788,166,250,245,0,2046,602
